pks_straftat_bezeichnung;justiz_straftat_bezeichnung_mapped
Einfacher Diebstahl von unbaren Zahlungsmitteln;Diebstahl und Unterschlagung
Einfacher Diebstahl von/aus Automaten;Diebstahl und Unterschlagung
Einfacher Ladendiebstahl;Diebstahl und Unterschlagung
Einmietbetrug;Betrug
Einreise oder Aufenthalt trotz Versagung des Freizügigkeitsrechts § 9 Freizügigkeitsgesetz/EU;Straftaten insgesamt
Einschleppen und Einschleusen nach § 47a AuslG;Straftaten nach dem Aufenthaltsgesetz
Einschleppen und Einschleusen nach § 92 AuslG;Straftaten nach dem Aufenthaltsgesetz
Einschleusen mit Todesfolge, gewerbs- und bandenmäßiges Einschleusen von Ausländern § 97 Aufenthaltsgesetz;Straftaten nach dem Aufenthaltsgesetz
Einschleusen nach § 92a AuslG;Straftaten nach dem Aufenthaltsgesetz
Einschleusen nach §§ 92a, 92b AuslG;Straftaten nach dem Aufenthaltsgesetz
Einschleusen von Ausländern § 96 Aufenthaltsgesetz;Straftaten nach dem Aufenthaltsgesetz
Einwirken auf Kinder nach § 176 Abs. 3 Nr. 3 StGB;Sexueller Missbrauch von Kindern
Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;Sexueller Missbrauch von Kindern
Entziehung Minderjähriger (unter 18 Jahren) § 235 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Entziehung Minderjähriger § 235 StGB;Andere Straftaten gegen die Person (ohne Verkehr)
Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geld- und Werttransporte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Kassenräume und Geschäfte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Zahlstellen und Geschäfte;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpresserischer Menschenraub § 239a StGB;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpresserischer Menschenraub § 239a StGB darunter:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpressung auf sexueller Grundlage;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpressung § 253 StGB;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erpressung § 253 StGB darunter:;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer
Erschleichen der Aufenthaltserlaubnis durch Scheinehe;Betrug
Erschleichen der Aufenthaltserlaubnis/Duldung § 92 Abs. 2 Nr. 2 AuslG;Betrug
Erschleichen eines Aufenthaltstitels (§ 95 Abs. 2 Nr. 2 Aufenthaltsgesetz) durch unrichtige oder unvollständige Angaben oder Gebrauch eines so beschafften Aufenthaltstitels zur Täuschung im Rechtsverkehr;Betrug
Erschleichen eines Aufenthaltstitels § 95 Abs. 2 Nr. 2 Aufenthaltsgesetz;Betrug
Erschleichen von Leistungen § 265a StGB;Betrug
Euroschecks;Urkundenfälschung
Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;Straftaten gegen die sexuelle Selbstbestimmung
Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;Sexueller Missbrauch von Kindern
Exhibitionistische/sexuelle Handlungen vor Kindern § 176a Abs. 1 Nr. 1 StGB;Sexueller Missbrauch von Kindern
Fahrlässige Körperverletzung § 229 StGB;Körperverletzung
