jahr;straftat_bezeichnung;nationalitaet;verurteilte
1988;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Gesamt;37244
1988;Körperverletzung;Nichtdeutsch;9164
1988;Körperverletzung;Deutsch;58168
1988;Körperverletzung;Gesamt;67332
1988;Mord und Totschlag;Nichtdeutsch;632
1988;Mord und Totschlag;Deutsch;2136
1988;Mord und Totschlag;Gesamt;2768
1988;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Nichtdeutsch;4728
1988;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Deutsch;18496
1988;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Gesamt;23224
1988;Schwerer Diebstahl;Nichtdeutsch;22320
1988;Schwerer Diebstahl;Deutsch;123428
1988;Schwerer Diebstahl;Gesamt;145748
1988;Sexueller Missbrauch von Kindern;Nichtdeutsch;520
1988;Sexueller Missbrauch von Kindern;Deutsch;5256
1988;Sexueller Missbrauch von Kindern;Gesamt;5776
1988;Straftaten gegen den Staat,die öffentliche Ordnung;Nichtdeutsch;7944
1988;Straftaten gegen den Staat,die öffentliche Ordnung;Deutsch;62356
1988;Straftaten gegen den Staat,die öffentliche Ordnung;Gesamt;70300
1988;Straftaten gegen die sexuelle Selbstbestimmung;Nichtdeutsch;2864
1988;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;16904
1988;Straftaten gegen die sexuelle Selbstbestimmung;Gesamt;19768
1988;Straftaten im Straßenverkehr;Nichtdeutsch;97468
1988;Straftaten im Straßenverkehr;Deutsch;930228
1988;Straftaten im Straßenverkehr;Gesamt;1027696
1988;Straftaten im Straßenverkehr nach dem StGB;Nichtdeutsch;76728
1988;Straftaten im Straßenverkehr nach dem StGB;Deutsch;816620
1988;Straftaten im Straßenverkehr nach dem StGB;Gesamt;893348
1988;Straftaten insgesamt;Nichtdeutsch;413640
1988;Straftaten insgesamt;Deutsch;2397536
1988;Straftaten insgesamt;Gesamt;2811176
1988;Straftaten nach anderen Bundes- u. Landesgesetzen;Nichtdeutsch;85792
1988;Straftaten nach anderen Bundes- u. Landesgesetzen;Deutsch;227412
1988;Straftaten nach anderen Bundes- u. Landesgesetzen;Gesamt;313204
1988;Straftaten nach dem Aufenthaltsgesetz;Nichtdeutsch;28836
1988;Straftaten nach dem Aufenthaltsgesetz;Deutsch;1248
1988;Straftaten nach dem Aufenthaltsgesetz;Gesamt;30084
1988;Straftaten nach dem Betäubungsmittelgesetz;Nichtdeutsch;16336
1988;Straftaten nach dem Betäubungsmittelgesetz;Deutsch;70180
1988;Straftaten nach dem Betäubungsmittelgesetz;Gesamt;86516
1988;Straftaten nach dem StGB (ohne Verkehr);Nichtdeutsch;230380
1988;Straftaten nach dem StGB (ohne Verkehr);Deutsch;1239896
1988;Straftaten nach dem StGB (ohne Verkehr);Gesamt;1470276
1988;Straftaten nach dem Straßenverkehrsgesetz;Nichtdeutsch;20740
1988;Straftaten nach dem Straßenverkehrsgesetz;Deutsch;113608
1988;Straftaten nach dem Straßenverkehrsgesetz;Gesamt;134348
1988;Straftaten ohne Straftaten im Straßenverkehr;Nichtdeutsch;316172
1988;Straftaten ohne Straftaten im Straßenverkehr;Deutsch;1467308
1988;Straftaten ohne Straftaten im Straßenverkehr;Gesamt;1783480
1988;Urkundenfälschung;Nichtdeutsch;14132
1988;Urkundenfälschung;Deutsch;50184
1988;Urkundenfälschung;Gesamt;64316
1988;Vergewaltigung;Nichtdeutsch;1012
1988;Vergewaltigung;Deutsch;3428
1988;Vergewaltigung;Gesamt;4440
1988;Verletzung der Unterhaltspflicht;Nichtdeutsch;1080
1988;Verletzung der Unterhaltspflicht;Deutsch;14696
1988;Verletzung der Unterhaltspflicht;Gesamt;15776
1989;Andere Straftaten gegen die Person (ohne Verkehr);Nichtdeutsch;31028
1989;Andere Straftaten gegen die Person (ohne Verkehr);Deutsch;189952
1989;Andere Straftaten gegen die Person (ohne Verkehr);Gesamt;220980
1989;Andere Vermögensdelikte;Nichtdeutsch;66064
1989;Andere Vermögensdelikte;Deutsch;358156
1989;Andere Vermögensdelikte;Gesamt;424220
1989;Betrug;Nichtdeutsch;19916
1989;Betrug;Deutsch;174288
1989;Betrug;Gesamt;194204
1989;Diebstahl;Nichtdeutsch;103036
1989;Diebstahl;Deutsch;367928
1989;Diebstahl;Gesamt;470964
1989;Diebstahl und Unterschlagung;Nichtdeutsch;127072
1989;Diebstahl und Unterschlagung;Deutsch;502156
1989;Diebstahl und Unterschlagung;Gesamt;629228
1989;Gefährliche und schwere Körperverletzung;Nichtdeutsch;9176
1989;Gefährliche und schwere Körperverletzung;Deutsch;40824
1989;Gefährliche und schwere Körperverletzung;Gesamt;50000
1989;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Nichtdeutsch;3336
1989;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Deutsch;35528
1989;Gemeingefährliche einschl. Umweltstraftaten (o.V.);Gesamt;38864
1989;Körperverletzung;Nichtdeutsch;9780
1989;Körperverletzung;Deutsch;56552
1989;Körperverletzung;Gesamt;66332
1989;Mord und Totschlag;Nichtdeutsch;568
1989;Mord und Totschlag;Deutsch;1824
1989;Mord und Totschlag;Gesamt;2392
1989;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Nichtdeutsch;5244
1989;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Deutsch;17548
1989;Raub u. Erpressung,räuber. Angriff auf Kraftfahrer;Gesamt;22792
1989;Schwerer Diebstahl;Nichtdeutsch;20884
1989;Schwerer Diebstahl;Deutsch;101620
1989;Schwerer Diebstahl;Gesamt;122504
1989;Sexueller Missbrauch von Kindern;Nichtdeutsch;672
1989;Sexueller Missbrauch von Kindern;Deutsch;5408
1989;Sexueller Missbrauch von Kindern;Gesamt;6080
1989;Straftaten gegen den Staat,die öffentliche Ordnung;Nichtdeutsch;8220
1989;Straftaten gegen den Staat,die öffentliche Ordnung;Deutsch;60996
1989;Straftaten gegen den Staat,die öffentliche Ordnung;Gesamt;69216
1989;Straftaten gegen die sexuelle Selbstbestimmung;Nichtdeutsch;2800
1989;Straftaten gegen die sexuelle Selbstbestimmung;Deutsch;16572
1989;Straftaten gegen die sexuelle Selbstbestimmung;Gesamt;19372
1989;Straftaten im Straßenverkehr;Nichtdeutsch;107704
1989;Straftaten im Straßenverkehr;Deutsch;918964
1989;Straftaten im Straßenverkehr;Gesamt;1026668
1989;Straftaten im Straßenverkehr nach dem StGB;Nichtdeutsch;83828
1989;Straftaten im Straßenverkehr nach dem StGB;Deutsch;808648
1989;Straftaten im Straßenverkehr nach dem StGB;Gesamt;892476
1989;Straftaten insgesamt;Nichtdeutsch;449396
1989;Straftaten insgesamt;Deutsch;2324600
1989;Straftaten insgesamt;Gesamt;2773996
1989;Straftaten nach anderen Bundes- u. Landesgesetzen;Nichtdeutsch;97928
1989;Straftaten nach anderen Bundes- u. Landesgesetzen;Deutsch;224728
1989;Straftaten nach anderen Bundes- u. Landesgesetzen;Gesamt;322656
1989;Straftaten nach dem Aufenthaltsgesetz;Nichtdeutsch;36148
1989;Straftaten nach dem Aufenthaltsgesetz;Deutsch;1916
